id	english_technical_name	arabic_technical_name	arabic_layperson_synonym	arabic_definition
HP:0007885	Slowed horizontal saccades	بطء حركة العين الأفقية السريعة	بطء حركة العين الأفقية	سرعة حركات العين السريعة الأفقية أبطأ من المعتاد بشكل غير طبيعي.
HP:0007886	Absent extraocular muscles	غياب العضلات خارج العين	عدم وجود عضلات العين	غياب خلقي للعضلات التي تحرك العين خارجياً.
HP:0007889	Iridescent posterior subcapsular cataract	إعتام عدسة العين الخلفي تحت المحفظة متقزح اللون	إعتام عدسة العين الخلفي الملون	نوع من إعتام عدسة العين تحت المحفظة يتميز بلون متقزح.
HP:0007894	Fundus hypopigmentation	نقص تصبغ قاع العين	قلة التصبغ في قاع العين	انخفاض في التصبغ العام أو البؤري لقاع العين، والذي يتم تقييمه في سياق لون الجلد والشعر. قد يكشف تنظير القاع عن مستويات منخفضة من التصبغ.
HP:0007899	Retinal nonattachment	عدم التصاق الشبكية	عدم ارتباط الشبكية	فشل التصاق الشبكية أثناء التطور.
HP:0011516	Achromatopsia	عمه الألوان	عجز عن تمييز الألوان	حالة لا تحتوي فيها الشبكية على خلايا مخروطية وظيفية، وبالتالي يعاني الفرد ليس فقط من عدم القدرة على تمييز الألوان، بل وصعوبة في الرؤية في الأضواء ذات الكثافة الطبيعية.
HP:0011517	Cone monochromacy	عمه اللون المخروطي	مشاكل في تمييز الألوان	حالة يكون فيها لدى الفرد خلايا عصوية ومخروطية، ولكن نوع واحد فقط من الخلايا المخروطية. الأفراد المصابون لديهم رؤية جيدة للنماذج في ضوء النهار، ولكن لا يمكنهم التمييز بين الألوان.
HP:0011518	Dichromacy	الديروماتسي	عجز رؤية اللون	الأفراد الذين يعانون من الديروماتسي لديهم نوعين فقط من المخاريط بدلاً من ثلاثة.
HP:0011519	Anomalous trichromacy	ثلاثي الألوان الشاذ	تغيير ألوان غير طبيعي	الأفراد الذين يعانون من ثلاثي الألوان الشاذ يمتلكون ثلاثة أنواع من المخاريط، ولكن أحد هذه الأنواع لديه حساسية طيفية غير طبيعية مقارنة بالمخاريط الطبيعية.
HP:0011520	Deuteranomaly	شذوذ الألوان الأخضر	ضعف التمييز بين الأحمر والأخضر	نوع من شذوذ الثلاثي الألوان المرتبط بصبغ فوتو أم الشاذ بحيث يتم تحويل طيف الامتصاص نحو طول الموجة الطويلة. الأفراد المتأثرون يواجهون صعوبة في التمييز بين الأحمر والأخضر.
HP:0011521	Deuteranopia	عمى اللون الأخضر	عدم تمييز الأخضر	عدم وجود تام لصبغة فوتو أم، والتي يتم استبدالها بصبغة فوتو إل. الأفراد المتأثرون يميلون إلى الخلط بين الأحمر والأخضر.
HP:0011522	Protanopia	عمى اللون الأحمر	عدم تمييز الأحمر	العُصي الزرقاء والخضراء فقط؛ لا توجد عُصي حمراء وظيفية.
HP:0011523	Iris cyst	كيس القزحية	كيس في القزحية	يتكون كيس القزحية من طبقة واحدة من الخلايا الظهارية ومملوءة بسائل.
HP:0011524	Iris melanoma	ورم قزحية الميلانوما	ورم خبيث في القزحية	ورم خبيث من الخلايا الميلانية الذي يؤثر على القزحية.
HP:0011525	Iris nevus	وحمة القزحية	نمش في العين	منطقة بنية مصبوغة حميدة فوق القزحية تمثل تكاثر خلايا الميلانية في الطبقة اللحمية من القزحية. يمكن أن تكون وحمة القزحية مسطحة أو مرتفعة قليلاً.
HP:0011527	Lentiglobus	العدسة الكروية	انتفاخ العدسة	انحناء مبالغ فيه لعدسة العين، مما ينتج انتفاخ كروي أمامي أو خلفي.
HP:0100829	Galactorrhea	ثَرّ اللَّبَن	خروج الحليب من الثدي تلقائيًا	تدفق تلقائي للحليب من الثدي، دون ارتباطه بالولادة أو الرضاعة.
HP:0100830	Round ear	الأذن المستديرة	أذن مستديرة	شكل الأذن الذي يتميز بكونه دائريًا.
HP:0100832	Vitreous floaters	جوامد الجسم الزجاجي	بقع أمام العين	رواسب ذات أحجام وأشكال وقوام مختلف داخل الجسم الزجاجي للعين، الذي يكون شفافًا في الحالة الطبيعية.
HP:0100833	Neoplasm of the small intestine	ورم في الأمعاء الدقيقة	ورم الأمعاء الدقيقة	وجود ورم في الأمعاء الدقيقة.
HP:0100834	Neoplasm of the large intestine	ورم في الأمعاء الغليظة	ورم الأمعاء الغليظة	وجود ورم في الأمعاء الغليظة.
HP:0100835	Benign neoplasm of the central nervous system	ورم حميد في الجهاز العصبي المركزي	ورم حميد في الجهاز العصبي المركزي	يعني وجود ورم في الجهاز العصبي المركزي يكون غير سرطاني.
HP:0100836	Malignant neoplasm of the central nervous system	ورم خبيث في الجهاز العصبي المركزي	ورم خبيث في الجهاز العصبي المركزي	ورم ينشأ في الغدة الصنوبرية، يتميز بمتوسط خلوي ويميل لتشكيل أنماط وردية.
HP:0100837	Atrophodermia vermiculata	ضمور الجلد الدودي	تجاعيد في الجلد	ضمور متناظر دودي الشكل في الوجه، يؤثر بشكل خاص على الجبهة والذقن وشحمة الأذن والحلقات، يتميز بالاحمرار والسدادات الجريبية على الخدين، ويتطور إلى انطباعات شبكية غير مؤلمة.
HP:0100838	Recurrent cutaneous abscess formation	تكرار تشكل الخراجات الجلدية	خراجات جلدية متكررة	زيادة القابلية لتشكل الخراجات الجلدية، كما يتضح من تاريخ طبي للحالات المتكررة من الخراجات الجلدية.
HP:0011528	Solitary congenital hypertrophy of retinal pigment epithelium	تضخم خلقي منفرد في ظهارة صبغية الشبكية	التضخم الخلقي في الطبقة الصبغية للعين	تغير لوني محدد بوضوح في ظهارة صبغية الشبكية يكون خلقيًا وليس له أهمية وظيفية.
HP:0011529	Multiple congenital hypertrophy of retinal pigment epithelium	تضخم خلقي متعدد في ظهارة صبغية الشبكية	التضخم الخلقي المتعدد في الطبقة الصبغية للعين	آفات مصبوغة صغيرة وحيدة أو ثنائية الجوانب، محددة بوضوح، في ظهارة صبغية الشبكية. تظهر الآفات مظلمة في المركز مع محيط شاحب وغالباً ما تكون موجودة في المحيط.
HP:0011530	Retinal hole	ثقبة شبكية	ثقب في الشبكية	عيب كامل السمك في الشبكية.
HP:0011531	Vitritis	التهاب الخلط الزجاجي	التهاب في العين	التهاب في الجسم الزجاجي، يتميز بوجود خلايا التهابية وإفراز بروتيني في تجويف الزجاجي.
HP:0011532	Subretinal exudate	إفرازات تحت الشبكية	إفرازات في العين	نوع من الإفرازات الشبكية يتواجد في الفراغ تحت الشبكي بين الشبكية الحسية وصُباغ الشبكية الظهاري.
HP:0011533	Snowflake vitreoretinal degeneration	تنكس زجاجي شبكي شبيه بالثلج	بقع صفراء في الشبكية	ظهور نقاط صفراء/بيضاء شبيهة بالبلورات (ومن هنا جاءت التسمية) في الشبكية وتثخن الجزء المحيطي من الخلط الزجاجي.
HP:0011536	Right atrial isomerism	تماثل الأذين الأيمن	تماثل غير طبيعي في الأذين الأيمن	يتميز تماثل الأذين الأيمن بوجود زوائد مثلثة الشكل ثنائية الجوانب وذات شكل أذيني أيمن، ترتبط بغرفة الأذين مع حافة طرفية.
